input,label
read my last email,1
what was my last email,1
what was the subject of my latest email,2
last subject email,2
give me the subject of last email,2
latest email,1
read the latest email message,1
read the last email in my inbox,1
Whats the subject of the last email,2
show me my last email message,1
show me my last email subject,2
last email subject,2
get last email attachment,3
latest email attachment,3
attachment of my last email,3
what is the latest attachments,3
what are the attachments of the latest email in my inbox,3
give me my latest attachment,3
