input,label
read my last email,1
what was my last email,1
what was the subject of my latest email,2
last subject email,2
give me the title of last email,2
return the latest email,1
read the latest email message,1
read the last email content,1
Whats the subject of the last email,2
show me my last email body,1
show me my last email subject,2
I need last email subject,2
get last email attachment,3
latest email files,3
attachment of my last email,3
what is the latest files attached to the last email,3
what are the attachments of the latest email in my inbox,3
give me the links on the lastest email,3
what was my latest notification,1
I need the latest email message,1
return the latest email body,1
tell me the email,1
what is the header of the latest email I received,2
What was my last email about,2
what was the topic of the last email,2
give me the last subject ,2
Show me the latest pictures with the last email,3
I need the attachment to the last email,3
what content was an attachment of the last email,3
show me the files attached to the last email,3
